Species,Strain,ID,Shaved,Fasted,Hydration,STZ Injected,Weight_gms,Age_wks,Sex,Hours_Isoflurane,Blood_Glu,Blood_Lac,Blood_Ket,ISF_Glu,ISF_Lac,ISF_Ket,Prototype,ExtractionTime_min,TotalISF_uL,ExtractionRate_uL/min,pH,pCO2 _mm Hg,pO2_mm Hg,SO2_%,Hct _%,tHb_g/dL,Na _mM,K _mM,Cl _mM,iCa _mM,iMg_mM,Glu _mg/dL,Lac_mM,Creat_mg/dL,BUN_mg/dL,O2Hb_%,COHb_%,MetHb_%,Hhb_%,tBil_mg/dL,HbF_%,TCO2_mM,BE-ecf_mM,BE-b_mM,SBC_mM,HCO3- _mM,O2Cap_mL/dL,O2Ct_mL/dL,P50_mm Hg,pO2/FlO2_mm Hg,nCa_mM,nMg_mM,Gap(K)_mM,nCa/nMg,BUN/Creat
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,0.12,123,2.7,0.3,,,,Blue,64,46.5,0.727,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,,,3
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,0.35,225,2.3,0.2,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,0.62,258,1.7,0.2,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,0.9,345,1.2,0.2,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.08,374,1.4,0.4,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.3,344,1.6,0.2,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.48,313,1.9,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.58,392,1.2,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.78,403,1.2,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,0.12,167,2.5,0.2,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,0.35,224,2.1,0.2,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,0.62,255,1.5,0.2,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,0.9,294,1.3,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.08,310,1.2,0.1,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.3,347,1.4,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.48,352,1.8,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.58,401,2.3,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.78,421,2.3,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,0.12,178,2.4,0.1,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,0.35,208,2.4,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,0.62,316,1.5,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,0.9,328,1.1,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.08,289,1.3,0.2,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.3,327,1.7,0.2,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.48,310,1.9,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.58,393,2.4,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A1_38555,0,0,0,0,217,5,F,1.78,407,2.4,,,,,Blue,64,46.5,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,0.15,166,2.8,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,0.53,310,3.3,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,0.77,321,2.8,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,1.07,346,4.1,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,1.32,365,4.7,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,1.65,357,4.5,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,1.93,501,6.3,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,2.08,549,3.2,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,0.15,172,3.1,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,0.53,296,2.8,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,0.77,340,2.8,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,1.07,322,4.3,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,1.32,351,4.2,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,1.65,379,5.3,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,1.93,469,5.6,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,2.08,460,3.3,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,0.15,178,2.7,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,0.53,302,2.5,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,0.77,312,,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,1.07,,,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,1.32,,,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,1.65,419,5.4,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,1.93,517,5.8,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A2_33134,0,0,0,0,367,21,F,2.08,535,,0,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,0.07,144,1.3,0,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,0.48,268,2.9,0,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,0.85,249,3.9,0,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.08,288,4.3,0,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.33,337,4.9,0,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.6,321,4.9,0,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.8,417,5.3,0,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.93,513,2.6,0,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,0.07,285,,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,0.48,278,2.7,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,0.85,305,4.6,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.08,322,4.7,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.33,342,5.1,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.6,363,5.5,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.8,516,5.7,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.93,,1.4,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,0.07,,,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,0.48,,,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,0.85,266,3.5,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.08,,,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.33,,,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.6,366,5.1,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.8,378,5.6,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,A3_38555,0,0,0,0,271,5,F,1.93,536,,,,,,Blue,38,53.8,1.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,0.17,149,18.6,0.4,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,0,1,332.2,6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,0.4,267,15.5,0.4,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,0.68,273,18.7,,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,1.15,190,14.7,0.2,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,1.52,200,16.3,0,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,1.65,470,,0,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,0.17,118,17.5,0.3,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,0.4,271,13.9,0.3,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,0.68,295,11.4,0.2,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,1.15,237,16.6,,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,1.52,342,18.8,0,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,1.65,,,0,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,0.17,164,16.5,0.3,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,0.4,,,,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,0.68,276,,0.3,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,1.15,289,14.9,,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat,CD Hairless,S1_38789,0,0,1,1,249,6.5,M,1.52,,13.4,,,,,Blue,74,1.5,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
